Date,Min Temperature (C),Max Temperature (C),Min Humidity (%),Max Humidity (%),Min Wind Speed (m/s),Max Wind Speed (m/s)
2024-06-07,9.189999999999998,17.760000000000048,52,83,2.04,5.47
2024-06-08,9.930000000000007,18.55000000000001,50,86,2.64,4.11
2024-06-09,8.689999999999998,18.610000000000014,43,86,1.19,4.81
2024-06-10,8.810000000000002,12.879999999999995,85,98,1.39,3.84
2024-06-11,8.610000000000014,13.220000000000027,76,97,2.05,4.87
2024-06-12,7.680000000000007,7.680000000000007,92,92,2.55,2.55
